Type,Identifier,RubricIdentifier,CriterionIdentifier,Title,Description,Category,Weight,Position,Quality,Score,Feedback,CFItemIdentifier
Criterion,20000000-0000-0000-0000-000000000021,20000000-0000-0000-0000-000000000002,,,課題設定と提案,研究プロセス,0.25,1,,,,10000000-0000-0000-0000-000000000051
Level,20000000-0000-0000-0000-000000000211,,20000000-0000-0000-0000-000000000021,,社会的意義のある課題を独自に発見し実現可能な解決策を提案できる,,,,Excellent,4.0,研究テーマとして十分な新規性がある,
Level,20000000-0000-0000-0000-000000000212,,20000000-0000-0000-0000-000000000021,,与えられた課題に対して適切な解決策を提案できる,,,,Good,3.0,提案内容は妥当だが独自性を高めたい,
Level,20000000-0000-0000-0000-000000000213,,20000000-0000-0000-0000-000000000021,,課題の分析が浅く提案の具体性が不足している,,,,Adequate,2.0,先行研究の調査を深める必要がある,
Level,20000000-0000-0000-0000-000000000214,,20000000-0000-0000-0000-000000000021,,課題の設定ができていない,,,,Needs Improvement,1.0,指導教員と課題の方向性を再検討すること,
Criterion,20000000-0000-0000-0000-000000000022,20000000-0000-0000-0000-000000000002,,,チームワーク,研究プロセス,0.25,2,,,,10000000-0000-0000-0000-000000000052
Level,20000000-0000-0000-0000-000000000221,,20000000-0000-0000-0000-000000000022,,メンバーの強みを活かした役割分担でプロジェクトを牽引できる,,,,Excellent,4.0,リーダーシップを発揮している,
Level,20000000-0000-0000-0000-000000000222,,20000000-0000-0000-0000-000000000022,,担当タスクを期限内に完了しチームに貢献できる,,,,Good,3.0,安定した貢献が見られる,
Level,20000000-0000-0000-0000-000000000223,,20000000-0000-0000-0000-000000000022,,チーム活動に参加するが主体性に欠ける,,,,Adequate,2.0,積極的な関与を期待する,
Level,20000000-0000-0000-0000-000000000224,,20000000-0000-0000-0000-000000000022,,チーム活動への参加が不十分,,,,Needs Improvement,1.0,コミュニケーションの改善が必要,
Criterion,20000000-0000-0000-0000-000000000023,20000000-0000-0000-0000-000000000002,,,成果発表,研究成果,0.5,3,,,,10000000-0000-0000-0000-000000000053
Level,20000000-0000-0000-0000-000000000231,,20000000-0000-0000-0000-000000000023,,論理的な構成で聴衆を引き込むプレゼンテーションとドキュメントを作成できる,,,,Excellent,4.0,学会発表レベルの完成度,
Level,20000000-0000-0000-0000-000000000232,,20000000-0000-0000-0000-000000000023,,要点を整理した分かりやすい発表とドキュメントを作成できる,,,,Good,3.0,内容は十分だが表現に改善の余地がある,
Level,20000000-0000-0000-0000-000000000233,,20000000-0000-0000-0000-000000000023,,発表の構成やドキュメントの記述に改善が必要,,,,Adequate,2.0,論理構成とビジュアルの見直しを推奨,
Level,20000000-0000-0000-0000-000000000234,,20000000-0000-0000-0000-000000000023,,発表資料・ドキュメントともに不十分,,,,Needs Improvement,1.0,技術文書の書き方から学び直すこと,
